Full Name,Title,Diversity Flag,Firm,Type,Location,Crunchbase URL,LinkedIn URL
Madalyn Friedman,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Margaret (Maggie) Kavalaris,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Maya Tussing,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Meganne Houghton-Berry,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Min Kim,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Raquel McLean,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Rose Wang,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Sara Frankel,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",https://www.crunchbase.com/person/sara-frankel,
Shamini Dhana,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Sharon Vosmek,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",https://www.crunchbase.com/person/sharon-vosmek,
Silvia Restelli,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Suzanne Juptner,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Tina Choi,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Victoria Pettibone,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","New York, NY",https://www.crunchbase.com/person/victoria-pettibone-2,
Troy Carter,"Founder & CEO, General Partner",PoC,"[object Object], [object Object]","{""valuesByForeignRowId"":{""rec05iYPulZPgiE8N"":[""Venture Capital""],""recLnV3iuWyC7JljH"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec05iYPulZPgiE8N"",""recLnV3iuWyC7JljH""]}","Los Angeles, CA",https://www.crunchbase.com/person/troy-carter,https://www.linkedin.com/in/troy-carter-20928774
Lisa Marrone,Principal,Female,[object Object],"{""valuesByForeignRowId"":{""recIHpOn5H9kDjmU2"":[""Venture Capital""]},""foreignRowIdOrder"":[""recIHpOn5H9kDjmU2""]}","San Francisco, CA",,https://www.linkedin.com/in/lmarrone/
Lindsay Lee,Managing Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""rec69Y1N2WIuM4XU9"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec69Y1N2WIuM4XU9""]}","San Francisco, CA",https://www.crunchbase.com/person/lindsay-lee,https://www.linkedin.com/in/lindsay-lee-aa11b141/
Vaughn Blake,Founder & Managing Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""recP4YVgU0KBrXQNO"":[""Venture Capital""]},""foreignRowIdOrder"":[""recP4YVgU0KBrXQNO""]}","Los Angeles, CA",https://www.crunchbase.com/person/vaughn-blake,https://www.linkedin.com/in/vaughn-blake-13050a7/
Bá Minuzzi,Co-founder and General Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recnaGRpaNVl1rzLe"":[""Venture Capital""]},""foreignRowIdOrder"":[""recnaGRpaNVl1rzLe""]}","San Francisco, CA",https://www.crunchbase.com/person/barbara-kunde-minuzzi,https://www.linkedin.com/in/barbaraminuzzi/
Barbara Kunde Minuzzi,Co-founder & Managing Director,"PoC, Female",[object Object],"{""valuesByForeignRowId"":{""recnaGRpaNVl1rzLe"":[""Venture Capital""]},""foreignRowIdOrder"":[""recnaGRpaNVl1rzLe""]}","San Francisco, CA",https://www.crunchbase.com/person/barbara-kunde-minuzzi,
Daniela Arruda,Co-founder & Managing Director,"PoC, Female",[object Object],"{""valuesByForeignRowId"":{""recnaGRpaNVl1rzLe"":[""Venture Capital""]},""foreignRowIdOrder"":[""recnaGRpaNVl1rzLe""]}","San Francisco, CA",https://www.crunchbase.com/person/daniela-arruda,https://www.linkedin.com/in/danielaarruda/
Arlan Hamilton,"Founder, General Partner","PoC, Female, LGBTQ",[object Object],"{""valuesByForeignRowId"":{""recyucatkMbWyrivZ"":[""Venture Capital""]},""foreignRowIdOrder"":[""recyucatkMbWyrivZ""]}","Los Angeles, CA",https://www.crunchbase.com/person/arlan-hamilton,https://www.linkedin.com/in/arlanhamilton
Christie Pitts,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recyucatkMbWyrivZ"":[""Venture Capital""]},""foreignRowIdOrder"":[""recyucatkMbWyrivZ""]}","San Francisco, CA",https://www.crunchbase.com/person/christie-pitts,
Lolita Taub,Principal,"Female, PoC",[object Object],"{""valuesByForeignRowId"":{""recyucatkMbWyrivZ"":[""Venture Capital""]},""foreignRowIdOrder"":[""recyucatkMbWyrivZ""]}",,https://www.crunchbase.com/person/lolita-taub,Http://www.Linkedin.com/in/lolitataub
Fang Yuan,VP,Female,[object Object],"{""valuesByForeignRowId"":{""rec7tELFxKXpwROAP"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec7tELFxKXpwROAP""]}",,https://www.crunchbase.com/organization/baidu-ventures,https://www.linkedin.com/in/fangyuan23/
Enrique Salem,Managing Director,PoC,[object Object],"{""valuesByForeignRowId"":{""recoJJnqLUJ2xyFxd"":[""Venture Capital""]},""foreignRowIdOrder"":[""recoJJnqLUJ2xyFxd""]}","San Francisco, CA",https://www.crunchbase.com/person/enrique-salem,http://www.linkedin.com/pub/enrique-salem/0/10/569
Sarah Smith,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recoJJnqLUJ2xyFxd"":[""Venture Capital""]},""foreignRowIdOrder"":[""recoJJnqLUJ2xyFxd""]}","Palo Alto, CA",https://www.crunchbase.com/person/sarah-smith-6,https://www.linkedin.com/in/sasmith4/
