VC Firm,Stage,New meetings?,New terms sheets?,Areas of Interest,Check Size,Lead/Co-invest,Notes,Location,Last Modified
Endurance Investments,"Seed, Series A",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,"Focus is on Latin American B2B solutions with early stage technology that operate in the following industries: mining, agriculture, aquaculture, food, Biotechnology and health applications (such as medical tests and peripheral devices, SaaS-type technological solutions based on Machine Learning, IoT and Big Data",,,Focused on companies in Latin America,"Santiago, Chile",2020-05-18T15:59:00.000Z
Trail Mix Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,,,,,,2020-05-18T16:00:38.000Z
Next Coast Ventures,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,,,,,"Austin, TX, United States",2020-05-18T22:26:26.000Z
Sequoia ,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,,,,,,2020-05-20T21:02:18.000Z
Andreessen Horowitz,"Seed, Series A, Series B, Series C",Taking new meetings,Offering new term sheets,,,,,,2020-05-20T21:03:14.000Z
Two39 Ventures,Seed,Taking new meetings,Offering new term sheets,"Not currently interested in pharma, Industry Agnostic",,,,,2020-05-20T21:06:13.000Z
The 13 Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets, We are incredibly interested in all Consumer sector companies. Taking strong looks at non-Cyclical brands.,,,,,2020-05-20T21:10:59.000Z
Splitrock,,Focusing on current portfolio,Focusing on current portfolio,,,,,,2020-05-20T21:15:52.000Z
Bee Partners,Pre-Seed,Taking new meetings,Offering new term sheets,"Enterprise Software, Minority Founders, Female Founders, E-Commerce, Adtech, Marketplace, PropTech, Hardware, Insuretech, Future of Work",$500K-1M,"Lead, Co-Invest",Looking at companies from the idea stage to 100K+ in MRR,"San Francisco, California, United States",2020-05-22T21:52:36.000Z
Streamlined,Seed,Taking new meetings,Offering new term sheets,"Enterprise Software, E-Commerce, Gaming/Sports, Marketplace, PropTech, Legal, Fintech, Insuretech, Healthcare, Wellness, HR, Future of Work, Mobility, Cloud Computing, AI/ML",$500K-$5M,Co-Invest,Looking at companies who have shown product market fit and have up to 100K+ in MRR,"San Francisco, California, United States",2020-05-22T21:52:48.000Z
Blue Bear Capital,"Seed, Series A",Taking new meetings,Offering new term sheets,"Digital tech in energy, infrastructure and climate",,,,,2020-05-26T22:00:35.000Z
Founder Factory,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,Consumer Healthy startups,$100k,,,,2020-05-26T22:00:49.000Z
Rucker Park Capital,"Seed, Series A",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,,,,,,2020-05-26T22:02:25.000Z
Bonart Financial Performance Ltd. ,Seed,Taking new meetings,Offering new term sheets,,,,,,2020-05-26T22:08:42.000Z
Mount Cuba Capital,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,,,,,,2020-05-26T22:10:16.000Z
Wireframe Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,,,,,,2020-05-26T22:11:06.000Z
Touchdown Ventures,Seed,Taking new meetings,Offering new term sheets,,,,,,2020-05-26T22:12:04.000Z
Armory Square Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,B2B investments in NY-based companies,,Lead,,,2020-05-26T22:13:15.000Z
Vertex Ventures,Seed,Taking new meetings,Offering new term sheets,operators/founders turned investors (we've been in your shoes). Looking for the next great b2b founders,$1M - $8M,,,,2020-05-26T22:15:11.000Z
CapitalT,Seed,Taking new meetings,Offering new term sheets,"Software technology, Northern Europe",,,Taking video meetings,"New York, New York, United States",2020-06-04T20:05:11.000Z
Silicon Road Ventures,,Taking new meetings,,"Omnichannel, Retail & Shopper Tech, Supply Chain & Logistics, FinTech & Transactions",,,Have taken video meetings with founders outside of network,"Atlanta, GA, United States",2020-06-04T20:51:21.000Z
Accel,"Series A, Series B, Series C",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$2M-$20M,"Lead, Co-invest",,"Palo Alto, CA, New York City, NY, London, UK, Bangalore, India",2020-06-05T16:35:10.000Z
Anorak Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,Focus on technical founders,,,,,2020-06-05T16:39:50.000Z
Innocells,Series A,Taking new meetings,Focusing on deals in network,,,,Taking video meetings with founders within network,"Barcelona, Spain",2020-06-05T16:47:02.000Z
elev8.vc,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,Deep tech B2B focused,,,,Singapore,2020-06-05T16:49:07.000Z
Elysium Venture Capital,"Seed, Series A",Taking new meetings,Offering new term sheets,"Looking at companies in Consumer, SaaS/Enterprise, FinTech, AI sectors. From Pre-Product to $2M in MRR.",,,Taking video meetings,"Sunnyvale CA, United States",2020-06-05T16:51:03.000Z
TrueSight Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,,,,"Invest in pre-seed, seed in Europe and the US","London, UK and Stockholm, Sweden",2020-06-05T16:53:24.000Z
Founders Circle,Series C,Taking new meetings,Offering new term sheets,,,,Primary and Secondary investors,"San Francisco CA, United States",2020-06-05T16:57:40.000Z
Paladin Capital,"Seed, Series A, Series B, Series C",Taking new meetings,Offering new term sheets,,,,,"Washington D.C., United States",2020-06-05T17:00:11.000Z
Laerdal Million Lives Fund,"Series A, Series B",Taking new meetings,Offering new term sheets,Healthcare,$1M-$5M,,Investing $1-5M in healthcare startups helping to save lives,"San Francisco CA, United States and Stavanger, Norway",2020-06-05T17:06:08.000Z
NfX,"Seed, Series A",Taking new meetings,Offering new term sheets,,,,,"San Francisco, California, United States",2020-06-05T19:15:26.000Z
Prime Impact Fund,"Seed, Series A",Taking new meetings,Offering new term sheets,,,,,"Cambridge, Massachusetts, United States",2020-06-06T01:43:19.000Z
Chicago Ventures,"Seed, Series A, Series B",Taking new meetings,Unknown if offering term sheets,Tech startups in central US,,,,"Chicago IL, Unites States",2020-06-08T14:53:37.000Z
Brighton Park Capital,"Series A, Series B, Series C",Taking new meetings,Unknown if offering term sheets,Enterprise software,,,,"Greenwich CT, United States",2020-06-08T14:55:54.000Z
Active Impact Investments,"Seed, Series A",Taking new meetings,Offering new term sheets,Environmental Impact,$100K-500K,"Lead, Co-Invest","Looking for SaaS, services or cleantech that reduces GHG emissions or promotes environmental sustainability","Vancouver, British Columbia, Canada",2020-06-10T01:29:45.000Z
Collab Capital,,Taking new meetings,Unknown if offering term sheets,,,,Looking for black founders,"Atlanta, Georgia, United States",2020-06-11T16:04:12.000Z
Innova Memphis,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,,,,Funded 3 Agtech deals (new) during April/May,"Memphis, Tennessee, United States",2020-06-11T16:06:58.000Z
Northwestern Mutual Future Ventures,"Series A, Series B, Series C",Taking new meetings,Unknown if offering term sheets,,,,,"Milwaukee, Wisconsin, United States",2020-06-11T16:08:58.000Z
